Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg20433952,II,17,"55,607,898",F,MSI2,0.0030,0.0008,3.63,0.0003,6.1E-03,1,0,63.2%,+++++-+-+++?++++
cg21157107,I,9,"110,399,894",R,,-0.0026,0.0007,-3.63,0.0003,6.1E-03,0,0,26.5%,---+-++--+------
cg09701700,II,10,"104,194,843",R,MIR146B,-0.0041,0.0011,-3.62,0.0003,6.1E-03,1,1,71.2%,---+-----------+
cg07430820,II,17,"7,792,191",F,CHD3,-0.0018,0.0005,-3.62,0.0003,6.1E-03,1,0,74.4%,----------+--++-
cg08255481,II,16,"88,103,035",R,BANP,0.0024,0.0007,3.62,0.0003,6.1E-03,0,0,64.6%,+++-++++-+-+++++
cg23661483,I,19,"15,227,219",F,ILVBL,0.0035,0.0010,3.62,0.0003,6.1E-03,1,0,60.3%,+++++-+++-++++++
cg27572855,II,1,"25,598,939",R,RHD,0.0024,0.0007,3.62,0.0003,6.1E-03,0,0,62.6%,+++-++++++++++++
cg13668129,II,19,"41,768,075",R,HNRNPUL1,-0.0016,0.0004,-3.62,0.0003,6.1E-03,1,0,76.7%,---+------------
cg02226079,II,3,"190,971,216",R,,0.0044,0.0012,3.62,0.0003,6.1E-03,0,0,63.4%,++-+???++++????+
cg24931658,II,8,"21,914,524",F,EPB49,-0.0042,0.0012,-3.62,0.0003,6.1E-03,1,0,70.5%,--+--------+----
cg15261712,II,7,"92,238,248",F,CDK6,0.0049,0.0014,3.62,0.0003,6.2E-03,1,0,67.2%,+++++---+++-++++
cg14264316,II,9,"134,280,803",R,,-0.0042,0.0012,-3.62,0.0003,6.2E-03,0,0,63.3%,-----------++---
cg17076667,II,10,"121,418,050",R,BAG3,-0.0033,0.0009,-3.62,0.0003,6.2E-03,1,0,79.6%,---------+--+---
cg25793587,II,15,"67,383,147",F,SMAD3,-0.0034,0.0009,-3.62,0.0003,6.2E-03,0,0,68.6%,-----------+----
cg20778199,II,6,"148,020,881",F,,-0.0076,0.0021,-3.62,0.0003,6.2E-03,0,0,60.8%,-----??+-+-+----
cg22103736,I,5,"373,887",F,AHRR,-0.0021,0.0006,-3.62,0.0003,6.2E-03,1,0,52.5%,---+------+-----
cg02283485,I,10,"81,003,020",F,ZMIZ1,0.0025,0.0007,3.61,0.0003,6.2E-03,1,0,32.1%,+++++++++-++++-+
cg09367126,II,16,"89,242,147",R,CDH15,0.0031,0.0009,3.61,0.0003,6.3E-03,0,0,38.1%,++++++--+++-++++
cg01568522,II,12,"51,786,038",R,GALNT6,-0.0052,0.0014,-3.61,0.0003,6.3E-03,0,0,13.1%,--+--+---------+
cg18740175,II,20,"50,110,833",R,NFATC2,0.0029,0.0008,3.61,0.0003,6.3E-03,0,0,58.3%,+++-++++++-+++++
cg07520810,II,10,"63,809,149",F,ARID5B,-0.0031,0.0008,-3.61,0.0003,6.3E-03,1,0,68.9%,--------------+-
cg17907003,II,1,"117,533,414",R,,-0.0031,0.0009,-3.61,0.0003,6.3E-03,0,0,79.4%,---------+-+----
cg19696491,II,15,"78,857,124",R,CHRNA5,0.0044,0.0012,3.61,0.0003,6.4E-03,1,0,77.6%,+++++-++++++++++
cg16845623,II,3,"161,090,978",R,C3orf57,0.0033,0.0009,3.61,0.0003,6.4E-03,0,0,61.9%,+++++-++++++++++
cg13072940,II,3,"49,967,521",F,MON1A,-0.0023,0.0006,-3.60,0.0003,6.5E-03,0,0,45.0%,---------+-+-+--
cg07475654,II,2,"219,151,444",R,PNKD;TMBIM1,0.0009,0.0002,3.60,0.0003,6.5E-03,0,0,63.4%,+++++-++++++++--
cg17372223,I,3,"52,568,218",F,NT5DC2,-0.0044,0.0012,-3.60,0.0003,6.5E-03,0,0,50.8%,------+------+--
cg25722983,II,1,"36,840,028",F,STK40,-0.0028,0.0008,-3.60,0.0003,6.5E-03,1,0,75.3%,-----------++++-
cg06106428,II,11,"110,584,327",F,ARHGAP20,0.0038,0.0010,3.60,0.0003,6.5E-03,1,0,76.9%,+++++---+++++++-
cg13300273,I,1,"200,842,890",F,GPR25,-0.0059,0.0016,-3.60,0.0003,6.5E-03,1,0,24.1%,--+---+-+-----+-
cg14142171,I,6,"30,228,101",F,HLA-L,-0.0022,0.0006,-3.60,0.0003,6.5E-03,0,0,55.8%,--+--+-----?+-+-
cg00711496,I,19,"50,191,497",R,C19orf76;PRMT1,-0.0047,0.0013,-3.60,0.0003,6.5E-03,1,0,78.3%,-----------+--+-
cg16611234,II,11,"58,870,075",F,,-0.0057,0.0016,-3.60,0.0003,6.6E-03,1,0,77.4%,-----------+---+
cg23625628,I,6,"33,267,991",R,TAPBP;RGL2,-0.0042,0.0012,-3.60,0.0003,6.6E-03,0,0,55.9%,--+-------------
cg25567674,II,3,"123,751,655",R,,-0.0027,0.0008,-3.60,0.0003,6.6E-03,0,0,47.2%,--++----++-+----
cg17372101,II,7,"147,500,722",F,CNTNAP2,0.0058,0.0016,3.60,0.0003,6.6E-03,1,0,76.6%,++++++++++--++++
cg11068337,II,17,"43,224,582",F,HEXIM1,-0.0018,0.0005,-3.59,0.0003,6.6E-03,0,0,55.6%,--------++--++--
cg03638795,II,11,"416,499",F,SIGIRR,-0.0034,0.0009,-3.59,0.0003,6.6E-03,0,0,49.9%,---+---------+--
cg12738718,II,6,"32,121,204",R,PPT2;PRRT1,-0.0023,0.0007,-3.59,0.0003,6.6E-03,1,0,45.9%,-+++---------+--
cg26856289,II,1,"24,307,516",F,SFRS13A,-0.0028,0.0008,-3.59,0.0003,6.6E-03,1,0,83.0%,-+---------?-++-
cg13823169,II,9,"139,776,893",R,,-0.0030,0.0008,-3.59,0.0003,6.6E-03,0,0,70.9%,---+-------+---+
cg16509978,II,11,"67,121,607",R,LOC100130987;POLD4,-0.0027,0.0007,-3.59,0.0003,6.6E-03,0,0,68.2%,---+----+---++--
cg27427318,II,1,"61,509,328",F,,-0.0030,0.0008,-3.59,0.0003,6.6E-03,0,0,73.7%,-+++---------+-+
cg15903032,II,10,"101,297,605",R,,-0.0030,0.0008,-3.59,0.0003,6.6E-03,0,0,76.5%,--+-----+--+-+--
cg26790897,II,7,"56,147,772",F,SUMF2,0.0043,0.0012,3.59,0.0003,6.7E-03,1,0,65.1%,+++++-+-+++-++++
cg04573702,II,14,"23,857,834",F,MYH6;MIR208A,-0.0026,0.0007,-3.59,0.0003,6.7E-03,0,1,76.8%,---------+-+---+
cg09279679,I,2,"421,661",R,,0.0018,0.0005,3.59,0.0003,6.7E-03,0,0,61.7%,++-+++-+++++---+
cg02310296,II,20,"44,637,358",R,MMP9,0.0013,0.0004,3.59,0.0003,6.7E-03,1,0,62.1%,+++++-+++-++++++
cg23256579,II,12,"11,002,403",F,PRR4,0.0055,0.0015,3.59,0.0003,6.7E-03,0,0,56.6%,++-+++++++++++--
cg13547053,II,2,"179,184,864",R,OSBPL6,0.0040,0.0011,3.59,0.0003,6.7E-03,1,0,61.8%,+++++-+++++-++++
cg26605073,II,X,"100,333,473",F,TMEM35,-0.0039,0.0011,-3.59,0.0003,6.7E-03,0,0,22.0%,----+??-??------
cg26103512,I,17,"80,231,812",R,CSNK1D,-0.0018,0.0005,-3.58,0.0003,6.7E-03,1,0,63.9%,-------+---+-+-+
cg14365070,I,17,"48,041,570",R,,-0.0022,0.0006,-3.58,0.0003,6.7E-03,0,0,67.6%,---+---+-+---+--
cg24222546,II,15,"74,501,771",F,STRA6,-0.0036,0.0010,-3.58,0.0003,6.8E-03,0,0,73.1%,---+-------++---
cg18578096,II,11,"117,668,140",F,DSCAML1,-0.0026,0.0007,-3.58,0.0003,6.8E-03,1,0,37.5%,---------+----++
cg03059073,II,7,"150,130,708",F,,0.0044,0.0012,3.58,0.0003,6.8E-03,0,0,67.6%,+++++-++++-?+-++
cg01876978,II,2,"11,970,145",F,,-0.0020,0.0005,-3.58,0.0003,6.8E-03,0,0,54.2%,---+------------
cg15244327,II,8,"23,021,690",R,TNFRSF10D,-0.0010,0.0003,-3.58,0.0003,6.9E-03,0,0,32.0%,--+-----+--++--+
cg10062919,II,17,"38,503,802",F,RARA,-0.0018,0.0005,-3.57,0.0004,7.0E-03,1,0,85.8%,-+----++--------
cg14423778,II,3,"151,985,433",F,MBNL1;LOC401093,-0.0036,0.0010,-3.57,0.0004,7.0E-03,0,0,52.4%,----?-+-+---+---
cg02377704,II,12,"53,075,359",F,KRT1,0.0050,0.0014,3.57,0.0004,7.1E-03,0,0,65.3%,++--?+-??++?++++
cg08409562,II,6,"31,737,885",R,C6orf27,0.0031,0.0009,3.57,0.0004,7.1E-03,1,0,56.8%,+++-+-++++++++++
cg02855836,I,1,"116,710,530",R,,-0.0039,0.0011,-3.57,0.0004,7.1E-03,0,0,56.1%,--++-------+-++-
cg04638655,II,14,"101,529,855",F,MIR541,0.0024,0.0007,3.57,0.0004,7.1E-03,0,1,68.3%,+?+++++-++--+++-
cg06197751,II,3,"153,912,866",F,SGEF,0.0025,0.0007,3.57,0.0004,7.1E-03,0,0,69.8%,++-++-++++++++-+
cg06096336,II,2,"231,989,800",F,PSMD1;HTR2B,-0.0039,0.0011,-3.57,0.0004,7.1E-03,1,0,77.9%,--+------+----+-
cg24892069,II,10,"33,562,205",R,NRP1,-0.0074,0.0021,-3.57,0.0004,7.1E-03,0,0,46.0%,---+----+----+--
cg04231636,II,6,"18,186,411",F,KDM1B,-0.0027,0.0008,-3.57,0.0004,7.1E-03,0,0,62.4%,--------++----++
cg02272278,II,6,"158,448,578",R,SYNJ2,0.0023,0.0007,3.57,0.0004,7.1E-03,1,0,59.1%,++--+-+++++?++++
cg09122035,II,11,"319,667",F,,-0.0069,0.0019,-3.57,0.0004,7.1E-03,0,0,69.6%,---+-------+-++-
cg18216249,II,12,"48,100,805",F,RPAP3,-0.0022,0.0006,-3.56,0.0004,7.1E-03,0,0,71.3%,---+------------
cg13003054,II,22,"31,741,284",R,PATZ1,-0.0019,0.0005,-3.56,0.0004,7.2E-03,1,0,69.7%,-+---------+++--
cg02749735,II,3,"185,912,253",F,DGKG,0.0028,0.0008,3.56,0.0004,7.2E-03,0,0,39.7%,+++-++++++-+++++
cg17990365,II,11,"319,718",R,IFITM3,-0.0041,0.0012,-3.56,0.0004,7.2E-03,0,0,80.0%,-----------?+++-
cg27177841,I,1,"213,125,950",F,VASH2,-0.0018,0.0005,-3.56,0.0004,7.2E-03,0,0,75.1%,-----------+++--
cg17022914,II,11,"64,764,564",F,BATF2,0.0008,0.0002,3.56,0.0004,7.3E-03,0,0,58.1%,++-++-+++---+---
cg16672562,I,19,"46,801,672",F,HIF3A,-0.0080,0.0022,-3.56,0.0004,7.3E-03,0,0,66.6%,------+-++-+----
cg26089827,I,12,"132,116,780",F,,0.0023,0.0006,3.56,0.0004,7.3E-03,0,0,66.9%,+++++++++++?--++
cg25157472,II,3,"12,996,362",R,IQSEC1,0.0019,0.0005,3.56,0.0004,7.3E-03,1,0,66.5%,+-++++++++++++++
cg15130459,II,5,"40,834,228",R,SNORD72;RPL37,-0.0043,0.0012,-3.55,0.0004,7.4E-03,0,1,72.6%,-----+-----?----
cg22079747,I,2,"228,736,145",R,WDR69,-0.0026,0.0007,-3.55,0.0004,7.4E-03,0,0,48.9%,--++---------+-+
cg16829924,I,11,"36,383,991",R,PRR5L,-0.0022,0.0006,-3.55,0.0004,7.4E-03,0,0,50.3%,---+---+-+-++---
cg24834436,I,1,"54,941,132",R,,-0.0039,0.0011,-3.55,0.0004,7.4E-03,0,0,62.2%,----?++----?--+-
cg05790451,I,15,"29,396,200",R,APBA2,0.0031,0.0009,3.55,0.0004,7.4E-03,1,0,50.0%,+++++-++++++-+-+
cg12864721,I,10,"77,164,987",R,C10orf41,-0.0055,0.0016,-3.55,0.0004,7.4E-03,0,0,62.9%,-+---+---------+
cg05695937,I,1,"201,618,003",R,NAV1,-0.0074,0.0021,-3.55,0.0004,7.4E-03,0,0,29.3%,--++-------+----
cg16254309,II,7,"145,814,152",R,CNTNAP2,-0.0044,0.0012,-3.55,0.0004,7.4E-03,1,0,56.0%,--+---+-+--+----
cg10064322,II,19,"14,591,203",F,GIPC1,-0.0034,0.0010,-3.55,0.0004,7.5E-03,0,0,66.1%,-----------+----
cg03379477,II,17,"185,227",R,RPH3AL,0.0039,0.0011,3.55,0.0004,7.5E-03,1,0,18.5%,+++-+-++++++-+++
cg27598107,II,2,"102,759,782",R,,0.0032,0.0009,3.55,0.0004,7.5E-03,1,0,68.5%,+++++++++-++++++
cg23176340,II,15,"89,154,196",F,MIR7-2,-0.0058,0.0016,-3.54,0.0004,7.5E-03,0,1,38.7%,-+--------+--+--
cg08559712,II,20,"16,030,674",R,MACROD2,0.0044,0.0012,3.54,0.0004,7.6E-03,0,0,66.4%,++-+++++-++++++-
cg23867494,II,1,"1,150,322",R,TNFRSF4,-0.0023,0.0007,-3.54,0.0004,7.6E-03,0,0,63.7%,--++-----+-----+
cg21201401,I,20,"62,367,884",R,LIME1,0.0048,0.0014,3.54,0.0004,7.6E-03,0,0,59.9%,++-+++++-+++-+++
cg24049050,II,1,"94,702,435",F,ARHGAP29,-0.0031,0.0009,-3.54,0.0004,7.6E-03,1,0,70.1%,-----------++---
cg16225663,II,6,"32,026,797",F,TNXB,-0.0042,0.0012,-3.54,0.0004,7.6E-03,1,0,63.2%,--+-?--+---?----
cg22304262,II,19,"47,287,778",F,SLC1A5,-0.0046,0.0013,-3.54,0.0004,7.6E-03,1,0,53.8%,---------+-+----
cg04937184,I,14,"54,423,845",R,BMP4,-0.0038,0.0011,-3.54,0.0004,7.6E-03,0,0,59.1%,--+--------+----
cg04912542,II,1,"200,498,912",F,,0.0026,0.0007,3.54,0.0004,7.6E-03,0,0,62.5%,++++++-+++++++++
cg08947774,II,4,"169,644,750",F,PALLD,0.0031,0.0009,3.54,0.0004,7.6E-03,0,0,67.5%,++-++--+++++++++
cg20654074,II,15,"41,223,179",F,DLL4,0.0018,0.0005,3.54,0.0004,7.7E-03,0,0,50.7%,+++-+++++++++--+
cg27027069,II,6,"76,626,770",R,MYO6,-0.0056,0.0016,-3.54,0.0004,7.7E-03,0,0,49.6%,-+-+???----?----
cg26723847,II,11,"134,095,652",F,VPS26B;NCAPD3,-0.0013,0.0004,-3.54,0.0004,7.7E-03,1,0,48.0%,-----------?-+--
cg16457842,II,6,"84,417,445",R,SNAP91,0.0051,0.0015,3.54,0.0004,7.7E-03,0,0,35.8%,+++-+++-+++-+--+
cg23319477,II,6,"33,267,989",R,TAPBP;RGL2,-0.0038,0.0011,-3.54,0.0004,7.7E-03,0,0,58.9%,--+-------------
cg18915128,II,17,"26,878,963",R,UNC119,-0.0020,0.0006,-3.53,0.0004,7.8E-03,0,0,68.5%,--+------+--+-++
cg12072028,I,14,"92,981,227",R,RIN3,-0.0061,0.0017,-3.53,0.0004,7.8E-03,1,0,66.5%,---+----+-------
cg04944536,I,12,"116,756,890",F,,0.0021,0.0006,3.53,0.0004,7.8E-03,0,0,79.5%,+++-+-++++--+++-
cg05542681,I,16,"744,328",R,FBXL16,0.0057,0.0016,3.53,0.0004,7.8E-03,1,0,56.5%,++-++++++++++-++
cg15305511,II,4,"5,712,676",F,EVC2;EVC,-0.0045,0.0013,-3.53,0.0004,7.9E-03,1,0,42.5%,------------+---
cg18303397,II,3,"129,160,135",R,IFT122;MBD4,-0.0031,0.0009,-3.53,0.0004,7.9E-03,0,0,61.2%,--------++-+--+-
cg20267101,II,3,"113,006,232",R,BOC;WDR52,-0.0032,0.0009,-3.53,0.0004,7.9E-03,1,0,63.0%,---+--------+-+-
cg03474926,II,9,"136,023,407",R,RALGDS,-0.0016,0.0005,-3.52,0.0004,7.9E-03,1,0,77.5%,-+----------+---
cg06271652,II,16,"23,144,103",R,USP31,-0.0043,0.0012,-3.52,0.0004,7.9E-03,0,0,45.9%,---------+--++--
cg14652587,I,17,"75,692,571",R,,-0.0053,0.0015,-3.52,0.0004,8.0E-03,0,0,56.6%,---------------+
cg19825856,II,2,"107,501,733",R,ST6GAL2,0.0015,0.0004,3.52,0.0004,8.0E-03,0,0,56.5%,++--+-+++++-++++
cg13443605,I,17,"14,207,036",R,HS3ST3B1;MGC12916,-0.0034,0.0010,-3.52,0.0004,8.0E-03,0,0,72.2%,--+--------+++--
cg06484123,II,19,"53,107,200",R,,0.0052,0.0015,3.52,0.0004,8.0E-03,0,0,71.3%,+++++-+++-++++++
cg19586143,II,18,"34,325,134",R,FHOD3,0.0018,0.0005,3.52,0.0004,8.0E-03,0,0,74.4%,+++++--+++++++++
cg15697476,I,6,"32,055,474",R,TNXB,-0.0015,0.0004,-3.52,0.0004,8.0E-03,1,0,60.5%,---+----+-----++
cg21364077,II,6,"41,394,456",R,,0.0017,0.0005,3.52,0.0004,8.0E-03,0,0,48.3%,+++++++++-+-++++
cg02998240,II,1,"16,508,668",R,,-0.0058,0.0016,-3.52,0.0004,8.0E-03,0,0,77.2%,---------+-+++--
cg11927233,II,5,"170,816,542",F,NPM1,-0.0036,0.0010,-3.52,0.0004,8.0E-03,1,0,78.9%,---+-??------+--
cg23013137,II,14,"24,676,542",R,TSSK4,0.0019,0.0005,3.52,0.0004,8.0E-03,0,0,73.9%,+++++++++++-++--
cg01763916,II,1,"40,849,202",F,SMAP2,-0.0056,0.0016,-3.52,0.0004,8.0E-03,1,0,75.3%,---+---+---+----
cg04420138,II,11,"113,932,235",R,ZBTB16,0.0011,0.0003,3.52,0.0004,8.1E-03,1,0,70.4%,+++++-+++-++-++-
cg12413156,II,20,"62,368,256",F,LIME1,0.0027,0.0008,3.51,0.0004,8.1E-03,0,0,46.1%,+++-++++-++-+-++
cg17422460,II,6,"31,632,171",R,BAT4;CSNK2B,-0.0033,0.0010,-3.51,0.0004,8.1E-03,0,0,72.1%,---+?----+-?+---
cg25843346,II,6,"31,762,555",R,VARS,-0.0020,0.0006,-3.51,0.0004,8.2E-03,1,0,72.3%,---+----+-------
cg02793162,II,15,"68,958,534",F,CORO2B,0.0040,0.0011,3.51,0.0004,8.2E-03,0,0,69.4%,+++++-+++++-++++
cg03844211,II,6,"30,684,773",F,MDC1,-0.0014,0.0004,-3.51,0.0004,8.2E-03,0,0,60.2%,------+--+-+++-+
cg00188055,II,6,"32,076,079",R,TNXB,0.0020,0.0006,3.51,0.0004,8.2E-03,1,0,68.2%,+++++-+++---+-++
cg00148223,II,5,"957,913",F,,-0.0042,0.0012,-3.51,0.0004,8.2E-03,0,0,57.2%,----------++--+-
cg16317457,II,11,"123,173,103",F,,-0.0040,0.0011,-3.51,0.0004,8.2E-03,0,0,45.8%,-?-------+--+-++
cg19426731,II,19,"49,992,527",F,RPL13AP5;SNORD33;SNORD32A;RPL13A,-0.0020,0.0006,-3.51,0.0004,8.2E-03,0,1,69.1%,-----------++--+
cg01310750,II,19,"52,996,548",R,ZNF578,0.0041,0.0012,3.51,0.0005,8.3E-03,0,0,53.2%,++++++++-+-++-++
cg19756790,I,2,"45,176,863",F,,-0.0013,0.0004,-3.51,0.0005,8.3E-03,0,0,44.7%,--+---------+---
cg10428938,II,7,"98,990,837",F,ARPC1B,0.0054,0.0015,3.51,0.0005,8.3E-03,0,0,61.6%,+++++++-+++?++++
cg04961225,II,12,"91,332,479",F,,0.0042,0.0012,3.51,0.0005,8.3E-03,0,0,63.2%,++-++-+++++-+++-
cg13652493,II,2,"70,369,050",R,,-0.0008,0.0002,-3.51,0.0005,8.3E-03,0,0,69.4%,------------++--
cg22835712,II,2,"102,737,379",F,,0.0033,0.0009,3.50,0.0005,8.3E-03,0,0,60.0%,+-+++-++++--++-+
cg03849731,II,3,"129,326,718",R,PLXND1,-0.0021,0.0006,-3.50,0.0005,8.3E-03,0,0,72.4%,-----+--+--?++-+
cg16416158,II,1,"21,652,298",R,ECE1,-0.0027,0.0008,-3.50,0.0005,8.3E-03,1,0,65.7%,--+--+---+---+-+
cg05576845,II,5,"146,176,618",R,PPP2R2B,-0.0038,0.0011,-3.50,0.0005,8.4E-03,0,0,63.7%,-+--------------
cg02046475,II,8,"28,047,708",F,ELP3,0.0026,0.0008,3.50,0.0005,8.4E-03,0,0,48.0%,+++-+-+-++++-+++
cg23565821,II,6,"33,385,056",R,CUTA,-0.0036,0.0010,-3.50,0.0005,8.4E-03,1,0,75.8%,-----------+---+
cg11285998,I,12,"53,399,246",F,EIF4B,-0.0026,0.0007,-3.50,0.0005,8.4E-03,1,0,48.6%,--+--+-----?-+--
cg14030904,II,6,"149,806,732",R,ZC3H12D,-0.0049,0.0014,-3.50,0.0005,8.4E-03,1,0,64.2%,-+---------+----
cg05046936,II,17,"79,054,073",F,BAIAP2,0.0019,0.0005,3.50,0.0005,8.5E-03,1,0,57.2%,+++++-++++-+++++
cg13010299,II,20,"34,129,465",F,ERGIC3,-0.0034,0.0010,-3.50,0.0005,8.5E-03,0,0,35.0%,--+-----++------
cg01138448,II,15,"45,028,595",F,TRIM69,-0.0034,0.0010,-3.50,0.0005,8.5E-03,1,0,79.7%,---+--------+-+-
cg25385366,II,21,"43,809,360",R,TMPRSS3,0.0031,0.0009,3.50,0.0005,8.5E-03,0,0,77.8%,++-+++-++++-+--+
cg06073351,II,10,"22,625,665",R,,0.0012,0.0003,3.50,0.0005,8.5E-03,0,0,54.7%,++++++++++++-+++
cg23173586,II,14,"20,945,319",F,PNP,0.0027,0.0008,3.50,0.0005,8.5E-03,0,0,61.2%,++++++-++++-++++
cg11496569,II,1,"244,006,397",R,AKT3,-0.0031,0.0009,-3.50,0.0005,8.5E-03,1,0,65.2%,-----------+--+-
cg08595501,II,5,"75,878,300",R,IQGAP2,-0.0039,0.0011,-3.50,0.0005,8.5E-03,0,0,73.7%,---+-??------+--
cg23233742,II,5,"139,077,894",F,,-0.0027,0.0008,-3.50,0.0005,8.5E-03,0,0,83.1%,-----+---------+
cg00066351,II,7,"150,130,551",R,,0.0026,0.0008,3.49,0.0005,8.5E-03,0,0,75.3%,+++++--++++++--+
cg15696506,II,4,"57,947,735",F,IGFBP7,-0.0039,0.0011,-3.49,0.0005,8.6E-03,1,0,51.8%,-----------+---+
cg27646484,II,16,"31,210,736",F,,0.0019,0.0006,3.49,0.0005,8.6E-03,0,0,68.0%,+++++-+++++-+-++
cg27386529,II,3,"47,517,807",R,SCAP,-0.0033,0.0009,-3.49,0.0005,8.6E-03,0,0,56.9%,--++-----+-?--+-
cg06532574,I,5,"95,295,740",F,ELL2,-0.0077,0.0022,-3.49,0.0005,8.6E-03,0,0,63.8%,---+?---??--+---
cg01952185,II,5,"134,813,213",R,,0.0038,0.0011,3.49,0.0005,8.7E-03,0,0,74.8%,+++++-++++-+-+++
cg00166770,II,20,"55,043,239",R,C20orf43,-0.0026,0.0007,-3.49,0.0005,8.7E-03,0,0,32.4%,------+--+-+----
cg15633035,II,1,"154,439,516",F,IL6R,-0.0036,0.0010,-3.49,0.0005,8.7E-03,0,0,72.4%,------+---------
cg24518098,II,1,"2,146,288",R,,-0.0036,0.0010,-3.49,0.0005,8.7E-03,0,0,71.4%,---+-++----?----
cg16891104,II,22,"45,681,015",F,UPK3A,-0.0024,0.0007,-3.49,0.0005,8.7E-03,0,0,21.6%,--+------+--+--+
cg13424229,II,3,"148,581,837",F,CPA3,0.0027,0.0008,3.49,0.0005,8.7E-03,0,0,64.2%,++-++--+++++++--
cg13518625,II,8,"29,522,838",F,,-0.0027,0.0008,-3.49,0.0005,8.7E-03,1,0,78.0%,-----------+----
cg23551979,II,12,"6,165,683",F,VWF,0.0036,0.0010,3.48,0.0005,8.7E-03,1,0,72.8%,++++++-+-+++++++
cg21917349,II,15,"29,213,860",F,APBA2,0.0022,0.0006,3.48,0.0005,8.7E-03,1,0,67.2%,++++++-+++++++++
cg23842572,I,17,"17,030,253",F,MPRIP,0.0025,0.0007,3.48,0.0005,8.7E-03,0,0,84.0%,+++-++++++++++-+
cg08295410,II,5,"156,990,663",R,ADAM19,0.0015,0.0004,3.48,0.0005,8.8E-03,0,0,53.6%,++++++++++++++++
cg06394247,II,9,"36,986,788",F,PAX5,-0.0018,0.0005,-3.48,0.0005,8.8E-03,0,0,148.9%,--------++--+---
cg12157673,II,19,"52,996,617",F,ZNF578,0.0073,0.0021,3.48,0.0005,8.8E-03,0,0,44.0%,++++++++++-+-+++
cg03176996,II,5,"95,296,096",R,ELL2,-0.0051,0.0015,-3.48,0.0005,8.8E-03,0,0,49.1%,--------++------
cg02257517,II,9,"136,340,262",F,SLC2A6,0.0033,0.0009,3.48,0.0005,8.8E-03,1,0,51.3%,-++++-+-+++-++++
cg17378803,II,2,"242,823,275",R,,-0.0023,0.0007,-3.48,0.0005,8.8E-03,0,0,65.0%,-+---+------+---
cg27468704,II,22,"26,875,823",F,HPS4,-0.0028,0.0008,-3.48,0.0005,8.8E-03,0,0,60.5%,---+------+-----
cg02211160,I,6,"31,761,076",R,VARS,0.0014,0.0004,3.48,0.0005,8.9E-03,1,0,57.0%,+++++++-+++++--+
cg14539658,II,14,"21,495,146",R,NDRG2,0.0042,0.0012,3.48,0.0005,8.9E-03,0,0,47.0%,+++++++-++--++++
cg27185793,II,1,"1,238,797",R,ACAP3,0.0028,0.0008,3.48,0.0005,8.9E-03,0,0,34.0%,++++++++++-+++++
cg00509772,II,20,"32,273,129",F,E2F1,-0.0019,0.0006,-3.48,0.0005,8.9E-03,1,0,65.0%,---+-+-+----+---
cg26827533,I,8,"22,458,122",R,C8orf58,-0.0046,0.0013,-3.48,0.0005,8.9E-03,0,0,62.3%,--------+--+-+--
cg02481307,II,4,"1,858,883",F,LETM1,-0.0023,0.0007,-3.47,0.0005,9.0E-03,0,0,55.6%,--+---+--+--++--
cg17571335,II,11,"128,559,701",R,,-0.0056,0.0016,-3.47,0.0005,9.0E-03,0,0,59.1%,---+-----+-++---
cg03884592,II,1,"42,384,474",R,HIVEP3,0.0062,0.0018,3.47,0.0005,9.0E-03,1,0,76.4%,+++-+++++-++++++
cg21334048,II,17,"79,450,925",R,,-0.0026,0.0008,-3.47,0.0005,9.0E-03,0,0,57.3%,-++-+---+-------
cg21692620,I,17,"40,835,849",F,CNTNAP1,0.0051,0.0015,3.47,0.0005,9.1E-03,0,0,44.1%,+++++-++++--+-++
cg04111478,I,11,"1,991,677",F,,-0.0024,0.0007,-3.47,0.0005,9.1E-03,0,0,81.5%,-------+-+--+--+
cg14074174,II,19,"7,986,206",F,SNAPC2,-0.0027,0.0008,-3.47,0.0005,9.1E-03,1,0,75.2%,--++----+-------
cg26038465,I,22,"38,610,514",R,MAFF,0.0024,0.0007,3.47,0.0005,9.1E-03,0,0,24.6%,+++++++-++-++-++
cg03109660,II,4,"37,684,505",F,RELL1,-0.0030,0.0009,-3.47,0.0005,9.1E-03,0,0,75.3%,-----------+----
cg11597157,I,15,"90,171,643",F,KIF7,-0.0014,0.0004,-3.47,0.0005,9.1E-03,0,0,54.8%,---------+---+++
cg10292430,II,10,"121,297,031",F,RGS10,-0.0031,0.0009,-3.47,0.0005,9.1E-03,1,0,59.2%,--+------+----+-
cg06599169,II,19,"17,973,311",R,RPL18AP3;SNORA68;RPL18A,-0.0019,0.0006,-3.47,0.0005,9.1E-03,0,1,81.5%,---------+----++
cg18369516,I,20,"62,406,721",F,ZBTB46,-0.0082,0.0024,-3.47,0.0005,9.1E-03,0,0,55.3%,-++--------?+---
cg06196801,I,12,"121,164,025",F,ACADS,-0.0017,0.0005,-3.47,0.0005,9.2E-03,0,0,59.0%,--+-----+-----+-
cg07048504,II,1,"55,829,278",F,,0.0038,0.0011,3.46,0.0005,9.2E-03,0,0,68.1%,++-+++-+-++-++++
