Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg16183122,I,10,"88,466,389",F,LDB3,0.0029,0.0007,4.36,1.3E-05,0.0011,0,0,+++++++++++++-++
cg13903421,II,2,"219,738,714",R,WNT6,0.0154,0.0035,4.36,1.3E-05,0.0011,0,0,+++++++-+++-+--+
cg13335054,II,3,"194,030,977",F,LOC100131551,0.0031,0.0007,4.35,1.3E-05,0.0011,1,0,++++++-++++-+-++
cg24670151,II,17,"73,256,558",R,GGA3;MRPS7,-0.0068,0.0016,-4.35,1.3E-05,0.0011,1,0,---+???----?-+-+
cg14211055,I,21,"47,704,251",R,MCM3AP,-0.0028,0.0006,-4.35,1.3E-05,0.0011,0,0,-----+-----+--+-
cg03533561,II,6,"167,524,115",R,CCR6,-0.0033,0.0008,-4.35,1.3E-05,0.0011,0,0,-----+---+++--+-
cg07576135,I,15,"42,694,403",R,CAPN3,0.0105,0.0024,4.35,1.3E-05,0.0011,1,0,+?++++++?-+++-++
cg27150870,I,16,"89,390,609",R,ANKRD11,-0.0059,0.0014,-4.35,1.3E-05,0.0011,1,0,-------+---+----
cg00599266,II,4,"55,967",R,ZNF595;ZNF718,0.0063,0.0014,4.35,1.3E-05,0.0011,0,0,+++++-+-+++-+-++
cg13527203,I,8,"145,048,278",F,PLEC1,-0.0035,0.0008,-4.35,1.3E-05,0.0011,1,0,-----+-+---+-++-
cg13269964,II,17,"41,924,577",F,CD300LG,-0.0058,0.0013,-4.35,1.3E-05,0.0011,0,0,-------------+--
cg12793610,II,4,"154,125,637",R,TRIM2,-0.0086,0.0020,-4.35,1.3E-05,0.0011,0,0,---------+------
cg09314421,II,8,"21,771,252",R,DOK2,0.0016,0.0004,4.35,1.4E-05,0.0011,0,0,++-++-++++++++++
cg14911856,II,1,"47,999,856",F,,-0.0065,0.0015,-4.35,1.4E-05,0.0011,0,0,-------------+--
cg05856556,II,7,"150,104,705",R,LOC728743,-0.0033,0.0008,-4.35,1.4E-05,0.0011,0,0,-----+--++---+--
cg02892367,II,7,"148,724,141",R,PDIA4,-0.0043,0.0010,-4.35,1.4E-05,0.0011,1,0,-----+-+-+-+----
cg19970953,II,20,"55,982,703",F,RBM38,0.0024,0.0005,4.35,1.4E-05,0.0011,0,0,+++-++++++-+++-+
cg20732076,II,6,"42,335,231",R,TRERF1,-0.0063,0.0015,-4.35,1.4E-05,0.0011,1,0,---+---+--+-----
cg06320380,II,2,"218,770,208",F,TNS1,0.0017,0.0004,4.35,1.4E-05,0.0011,0,0,++-++++-+++++-++
cg07466622,II,6,"13,014,491",F,PHACTR1,0.0039,0.0009,4.35,1.4E-05,0.0011,0,0,+++-+--+++++++++
cg25513635,II,19,"18,981,378",F,GDF1;LASS1,0.0063,0.0014,4.35,1.4E-05,0.0011,0,0,+++++++++++-+-++
cg24226238,II,11,"120,530,774",R,GRIK4,0.0032,0.0007,4.35,1.4E-05,0.0011,0,0,++++++-++++--+++
cg03613649,II,17,"7,341,191",F,FGF11,-0.0065,0.0015,-4.35,1.4E-05,0.0011,0,0,-----+----------
cg19748684,I,2,"175,197,431",R,,-0.0021,0.0005,-4.35,1.4E-05,0.0011,0,0,----?+-----++---
cg15845673,II,12,"25,099,560",R,BCAT1,-0.0115,0.0026,-4.35,1.4E-05,0.0011,1,0,----???+?---?--+
cg03726357,II,8,"29,259,693",F,,-0.0083,0.0019,-4.35,1.4E-05,0.0011,0,0,---+-+---+-+----
cg05357209,II,7,"872,208",R,UNC84A,-0.0062,0.0014,-4.35,1.4E-05,0.0011,0,0,---------+------
cg15644324,II,1,"42,384,647",F,HIVEP3,0.0278,0.0064,4.35,1.4E-05,0.0011,1,0,++++???++-+-++++
cg20832320,II,3,"49,712,339",F,APEH,-0.0054,0.0012,-4.35,1.4E-05,0.0011,0,0,-----+----------
cg21060085,II,4,"40,721,181",R,,0.0032,0.0007,4.35,1.4E-05,0.0011,0,0,++-+++++++++++-+
cg14269813,II,9,"3,899,055",R,GLIS3;C9orf70,0.0056,0.0013,4.35,1.4E-05,0.0011,0,0,++++-+++++++--++
cg18058048,II,6,"31,690,949",F,C6orf25;LY6G6C,0.0051,0.0012,4.35,1.4E-05,0.0011,0,0,+++++++++++-++-+
cg15554875,II,2,"45,236,686",F,SIX2,0.0024,0.0006,4.35,1.4E-05,0.0011,0,0,++--+-+++++++-++
cg24212517,II,17,"42,428,168",R,GRN,-0.0047,0.0011,-4.35,1.4E-05,0.0011,0,0,---+-+----------
cg27583604,II,1,"45,267,345",F,PLK3,-0.0053,0.0012,-4.35,1.4E-05,0.0011,0,0,--+------+------
cg14698339,I,17,"27,071,930",F,TRAF4,-0.0045,0.0010,-4.35,1.4E-05,0.0011,0,0,--+-----------++
cg12268562,II,1,"3,625,409",R,TP73,-0.0070,0.0016,-4.35,1.4E-05,0.0011,0,0,---------+------
cg20479063,II,4,"10,016,908",R,SLC2A9,-0.0098,0.0022,-4.35,1.4E-05,0.0011,0,0,-------+---?-+--
cg12719836,II,1,"95,238,920",F,,0.0056,0.0013,4.35,1.4E-05,0.0011,0,0,++++++++++++++-+
cg02153814,I,3,"194,014,525",F,,-0.0124,0.0029,-4.35,1.4E-05,0.0011,0,0,-----+-------+-+
cg22032366,II,6,"79,911,416",R,HMGN3,-0.0030,0.0007,-4.35,1.4E-05,0.0011,1,0,------++-+-+----
cg20654074,II,15,"41,223,179",F,DLL4,0.0036,0.0008,4.35,1.4E-05,0.0011,0,0,++-++++++++-++++
cg08289839,II,13,"111,318,640",R,CARS2,0.0065,0.0015,4.35,1.4E-05,0.0011,1,0,++-++-+++++++--+
cg04120578,II,7,"100,304,340",F,POP7,-0.0046,0.0011,-4.35,1.4E-05,0.0011,0,0,---------+--+---
cg27585939,II,11,"108,983,607",F,,0.0093,0.0021,4.35,1.4E-05,0.0011,0,0,++-++++++++?++++
cg10963218,I,1,"153,600,762",F,S100A13;S100A1,0.0031,0.0007,4.35,1.4E-05,0.0011,0,0,++++?++++-+?++++
cg09772154,II,10,"123,358,284",F,FGFR2,0.0026,0.0006,4.35,1.4E-05,0.0011,0,0,++--?-++-++?+-++
cg04686763,I,11,"64,655,583",F,,0.0047,0.0011,4.35,1.4E-05,0.0011,0,0,++-+++++++++++-+
cg05794931,II,11,"70,493,931",R,SHANK2,-0.0126,0.0029,-4.35,1.4E-05,0.0011,0,0,---------+-?+-+-
cg02660643,II,16,"87,491,587",R,ZCCHC14,-0.0034,0.0008,-4.35,1.4E-05,0.0011,1,0,-------+-+-+----
cg25725843,II,2,"107,504,169",R,ST6GAL2,0.0064,0.0015,4.35,1.4E-05,0.0011,0,0,+++-+++--+++++++
cg23325240,II,12,"124,330,429",F,DNAH10,0.0039,0.0009,4.35,1.4E-05,0.0011,0,0,+++-+++++++?+--+
cg13022121,II,6,"33,148,386",R,COL11A2,0.0020,0.0005,4.35,1.4E-05,0.0011,0,0,+++++++++++-++++
cg00070899,I,6,"34,024,479",R,GRM4,-0.0080,0.0018,-4.35,1.4E-05,0.0011,0,0,---+-----------+
cg24714497,I,19,"11,590,260",R,ELAVL3,-0.0051,0.0012,-4.35,1.4E-05,0.0011,0,0,---+-+-+-----++-
cg22033586,II,2,"157,292,113",R,GPD2,0.0060,0.0014,4.34,1.4E-05,0.0011,1,0,+++++++++++-++++
cg05236720,II,2,"37,893,255",F,CDC42EP3,0.0101,0.0023,4.34,1.4E-05,0.0011,0,0,+++++++++++-+--+
cg27112972,II,17,"74,378,252",F,,0.0036,0.0008,4.34,1.4E-05,0.0011,0,0,++++++++-++-++++
cg17416338,II,19,"5,074,717",R,KDM4B,0.0032,0.0007,4.34,1.4E-05,0.0011,0,0,+++++++++++++-++
cg13400493,II,7,"44,826,786",R,,-0.0033,0.0008,-4.34,1.4E-05,0.0011,0,0,-----+-+-+------
cg16274890,II,3,"127,299,325",R,TPRA1,0.0062,0.0014,4.34,1.4E-05,0.0011,0,0,++++++++++-+++++
cg00883831,I,2,"208,636,032",F,,-0.0072,0.0017,-4.34,1.4E-05,0.0011,0,0,-----------+----
cg04737759,II,6,"155,253,937",F,,0.0038,0.0009,4.34,1.4E-05,0.0011,0,0,++++++--+++-++-+
cg20750319,II,7,"625,089",F,PRKAR1B,-0.0067,0.0015,-4.34,1.4E-05,0.0011,1,0,-------+-++-----
cg01594685,II,16,"3,115,053",R,IL32,-0.0058,0.0013,-4.34,1.4E-05,0.0011,0,0,-----+---+-+----
cg27573991,II,1,"247,712,512",F,C1orf150,-0.0312,0.0072,-4.34,1.4E-05,0.0011,1,0,----------------
cg12835118,I,3,"56,789,110",R,ARHGEF3,0.0057,0.0013,4.34,1.4E-05,0.0011,1,0,+++++++++--+++++
cg10176110,I,6,"168,841,653",F,SMOC2,0.0088,0.0020,4.34,1.4E-05,0.0011,1,0,+++-++++-++++-++
cg17465631,II,16,"81,272,500",F,BCMO1,0.0035,0.0008,4.34,1.4E-05,0.0011,0,0,++-+++-++++++-++
cg18521743,I,19,"59,025,573",R,ZBTB45,-0.0132,0.0030,-4.34,1.4E-05,0.0011,1,0,-----------+----
cg10836733,II,12,"7,793,353",R,,0.0043,0.0010,4.34,1.4E-05,0.0011,0,0,+++-+-+++++?++++
cg21281951,II,6,"26,272,355",R,HIST1H3G;HIST1H2BI,-0.0021,0.0005,-4.34,1.4E-05,0.0011,0,0,-----+---+-+++-+
cg08790890,II,2,"129,200,109",R,,-0.0064,0.0015,-4.34,1.4E-05,0.0011,0,0,---+---+--------
cg22650271,II,22,"39,760,165",F,SYNGR1,-0.0058,0.0013,-4.34,1.4E-05,0.0011,0,0,--+----------+-+
cg25749318,II,6,"170,103,058",F,C6orf120;WDR27,-0.0037,0.0009,-4.34,1.4E-05,0.0011,0,0,-------+---+----
cg04983977,II,1,"200,842,145",F,GPR25,0.0072,0.0016,4.34,1.4E-05,0.0011,1,0,-++++++++++-++++
cg24980413,II,5,"346,987",R,AHRR,0.0105,0.0024,4.34,1.4E-05,0.0011,1,0,+++++++++-+-+-++
cg10989763,II,2,"139,537,745",F,NXPH2,0.0038,0.0009,4.34,1.4E-05,0.0011,0,0,+++-++--+-+++-++
cg00237010,II,12,"772,861",F,NINJ2,-0.0055,0.0013,-4.34,1.4E-05,0.0011,0,0,----------++----
cg12565126,I,2,"24,233,931",R,MFSD2B,0.0107,0.0025,4.34,1.4E-05,0.0011,1,0,+++++++++++-+-++
cg04497512,I,21,"36,042,224",R,CLIC6,0.0031,0.0007,4.34,1.4E-05,0.0011,0,0,++-++--++++?+-++
cg15212295,I,17,"64,710,687",F,PRKCA,-0.0070,0.0016,-4.34,1.4E-05,0.0011,1,0,-------+--+-----
cg16494108,II,15,"44,120,022",F,WDR76,-0.0059,0.0014,-4.34,1.4E-05,0.0011,0,0,-----------+----
cg00094734,I,2,"96,830,479",F,,-0.0051,0.0012,-4.34,1.4E-05,0.0011,0,0,-----+-+--------
cg01426808,II,8,"117,487,124",F,,0.0069,0.0016,4.34,1.4E-05,0.0011,0,0,+++-???-++++++++
cg22649124,II,19,"39,282,077",R,LGALS7B,-0.0102,0.0023,-4.34,1.4E-05,0.0011,1,0,---+-------?----
cg00812761,II,4,"53,799,391",F,SCFD2,0.0041,0.0010,4.34,1.4E-05,0.0011,0,0,++-++++++++-+--+
cg26185061,II,10,"81,744,786",F,,-0.0028,0.0007,-4.34,1.4E-05,0.0011,0,0,-----+++-+---+--
cg27288614,II,19,"35,635,774",F,FXYD7,0.0027,0.0006,4.34,1.4E-05,0.0011,0,0,+++++++++++++++-
cg19478111,I,11,"73,359,987",R,PLEKHB1,-0.0071,0.0016,-4.34,1.4E-05,0.0011,0,0,-----+----------
cg11553721,II,13,"114,287,546",F,TFDP1,0.0034,0.0008,4.34,1.4E-05,0.0011,1,0,+++-+++++++?+-+-
cg26596719,II,7,"142,986,429",F,CASP2,-0.0083,0.0019,-4.34,1.4E-05,0.0011,0,0,---------+------
cg16064237,II,12,"132,654,984",F,,-0.0057,0.0013,-4.34,1.4E-05,0.0011,0,0,-----+--+---++--
cg05142445,II,14,"76,309,157",F,TTLL5,0.0090,0.0021,4.34,1.4E-05,0.0011,0,0,+++++-+++++-++-+
cg14069214,II,12,"120,933,194",F,DYNLL1,-0.0034,0.0008,-4.34,1.4E-05,0.0011,0,0,---------+-?----
cg08146621,I,2,"158,453,928",R,ACVR1C,-0.0083,0.0019,-4.34,1.4E-05,0.0011,0,0,-?+----+----?---
cg20756600,II,21,"46,435,806",R,,0.0015,0.0003,4.34,1.4E-05,0.0011,0,0,+++++++++++-++++
cg17163404,II,1,"19,414,438",R,UBR4,-0.0073,0.0017,-4.34,1.4E-05,0.0011,1,0,---------+-+----
cg07296256,I,13,"113,438,010",R,ATP11A,0.0035,0.0008,4.34,1.4E-05,0.0011,1,0,+++++-++--++++++
cg12064372,I,12,"30,948,792",R,,0.0020,0.0005,4.34,1.4E-05,0.0011,0,0,+++++++--++-+-++
cg11683364,II,1,"202,205,348",F,LGR6,-0.0081,0.0019,-4.34,1.4E-05,0.0011,0,0,-----+--------+-
cg08548882,II,6,"150,953,085",F,PLEKHG1,-0.0081,0.0019,-4.34,1.4E-05,0.0011,0,0,-----------+----
cg12332083,I,11,"1,296,469",F,TOLLIP,0.0067,0.0015,4.34,1.4E-05,0.0011,1,0,+++++++++-+-+--+
cg12856708,II,17,"43,442,340",F,,-0.0059,0.0014,-4.34,1.4E-05,0.0011,0,0,---+-----+---+--
cg23356505,II,6,"144,613,012",F,UTRN,-0.0028,0.0007,-4.34,1.4E-05,0.0011,0,0,-----+-+---+++--
cg04640972,II,10,"8,373,522",R,,0.0095,0.0022,4.34,1.4E-05,0.0011,0,0,+++++-+-+++-++-+
cg24041822,II,14,"55,493,335",R,WDHD1;SOCS4,0.0031,0.0007,4.34,1.4E-05,0.0011,0,0,++-+++++++++--++
cg13791254,I,9,"100,616,607",R,FOXE1,0.0050,0.0012,4.34,1.4E-05,0.0011,0,0,+++-+-+++++?++++
cg16154332,II,5,"135,265,793",F,FBXL21,0.0019,0.0004,4.34,1.4E-05,0.0011,0,0,++-++++++++-+-++
cg03026462,II,14,"38,064,490",R,FOXA1,0.0032,0.0007,4.34,1.4E-05,0.0011,0,0,+++-+-+++++++--+
cg00188055,II,6,"32,076,079",R,TNXB,0.0064,0.0015,4.34,1.5E-05,0.0011,1,0,+++++++++++-++-+
cg27209072,II,10,"127,702,584",F,,-0.0049,0.0011,-4.34,1.5E-05,0.0011,0,0,------+-++------
cg15212369,I,20,"62,274,085",F,STMN3,-0.0071,0.0016,-4.34,1.5E-05,0.0011,0,0,--++------------
cg22512663,II,2,"161,122,423",F,,-0.0132,0.0030,-4.34,1.5E-05,0.0011,0,0,-----+---+-+----
cg00035937,II,7,"91,874,085",F,KRIT1;ANKIB1,-0.0076,0.0018,-4.34,1.5E-05,0.0011,0,0,---+-----+-+----
cg09856436,II,1,"855,649",R,FLJ39609,-0.0044,0.0010,-4.33,1.5E-05,0.0011,0,0,-----------+-+--
cg13380109,II,3,"52,255,762",F,TLR9,-0.0057,0.0013,-4.33,1.5E-05,0.0011,0,0,-----+---+--+---
cg04800503,I,17,"46,648,533",F,HOXB3,-0.0070,0.0016,-4.33,1.5E-05,0.0011,0,0,-?------?----+--
cg20619808,II,17,"27,313,499",F,SEZ6,0.0064,0.0015,4.33,1.5E-05,0.0011,0,0,+++++++-++++++-+
cg19176553,I,17,"43,049,895",F,,-0.0055,0.0013,-4.33,1.5E-05,0.0011,0,0,--++-+-----+-+--
cg01019770,II,17,"1,929,555",F,RTN4RL1,0.0043,0.0010,4.33,1.5E-05,0.0011,0,0,+++++++++++-+-++
cg03562528,II,14,"94,423,943",R,ASB2,-0.0037,0.0008,-4.33,1.5E-05,0.0011,1,0,----?+-+-+-?----
cg01308549,II,21,"38,592,416",R,DSCR9,0.0073,0.0017,4.33,1.5E-05,0.0011,0,0,++-++++-+++++--+
cg07477034,II,17,"53,341,969",F,HLF,-0.0060,0.0014,-4.33,1.5E-05,0.0011,0,0,--------++---+++
cg07037944,II,15,"64,290,807",R,DAPK2,-0.0086,0.0020,-4.33,1.5E-05,0.0011,0,0,---+---+---+----
cg08848462,II,1,"162,270,281",F,NOS1AP,0.0052,0.0012,4.33,1.5E-05,0.0011,1,0,++++++-++++++-++
cg20907456,II,11,"57,405,372",F,,0.0032,0.0007,4.33,1.5E-05,0.0011,0,0,+++++++++-++++++
cg20995188,II,2,"106,713,059",R,UXS1,-0.0039,0.0009,-4.33,1.5E-05,0.0011,1,0,---------+-+---+
cg19672546,I,8,"145,025,123",F,PLEC1,-0.0048,0.0011,-4.33,1.5E-05,0.0011,1,0,---+-+----+---+-
cg17233819,II,1,"45,266,782",F,PLK3,-0.0053,0.0012,-4.33,1.5E-05,0.0011,0,0,--+-?----+-?-+--
cg11478000,II,1,"149,753,023",R,FCGR1A,0.0061,0.0014,4.33,1.5E-05,0.0012,0,0,++-++++++++-++--
cg14759549,II,2,"102,447,269",R,MAP4K4,-0.0030,0.0007,-4.33,1.5E-05,0.0012,1,0,-------+-+-?----
cg09073799,II,15,"82,336,202",R,MEX3B,-0.0099,0.0023,-4.33,1.5E-05,0.0012,0,0,---------+-+-+--
cg07898949,II,17,"30,821,957",R,MYO1D,0.0042,0.0010,4.33,1.5E-05,0.0012,0,0,+++-++++++++++-+
cg02499139,II,3,"171,146,337",R,TNIK,0.0057,0.0013,4.33,1.5E-05,0.0012,1,0,+++++++++++++-++
cg19140548,II,10,"105,552,406",F,SH3PXD2A,-0.0024,0.0006,-4.33,1.5E-05,0.0012,0,0,-----+---+-?----
cg24702341,II,7,"73,895,278",R,GTF2IRD1,0.0044,0.0010,4.33,1.5E-05,0.0012,0,0,+--+++++++++++++
cg23441595,II,22,"37,273,987",R,NCF4,-0.0096,0.0022,-4.33,1.5E-05,0.0012,1,0,---+-+---+-+----
cg03182596,II,3,"141,378,979",F,,0.0035,0.0008,4.33,1.5E-05,0.0012,0,0,+++-+++++-+++-++
cg14123992,II,19,"45,407,868",F,APOE,0.0031,0.0007,4.33,1.5E-05,0.0012,0,0,++-++++-+++-++-+
cg20012537,II,10,"134,928,794",F,GPR123,-0.0045,0.0010,-4.33,1.5E-05,0.0012,0,0,-----+---+-+-+--
cg20994660,I,2,"162,272,299",F,TBR1,-0.0055,0.0013,-4.33,1.5E-05,0.0012,0,0,--+--------+--+-
cg17779658,II,8,"29,606,753",F,C8orf75,-0.0073,0.0017,-4.33,1.5E-05,0.0012,0,0,----------------
cg08934830,II,3,"107,521,535",R,BBX,-0.0018,0.0004,-4.33,1.5E-05,0.0012,0,0,------+----+++--
cg22201478,II,19,"48,747,562",F,CARD8,-0.0109,0.0025,-4.33,1.5E-05,0.0012,0,0,----------------
cg22266009,II,17,"21,283,710",F,KCNJ12,-0.0029,0.0007,-4.33,1.5E-05,0.0012,0,0,-----+++-+----+-
cg21003380,II,1,"156,261,207",R,TMEM79,0.0046,0.0011,4.33,1.5E-05,0.0012,0,0,++++++++++-+++-+
cg10522770,II,7,"158,646,253",F,,0.0037,0.0009,4.33,1.5E-05,0.0012,0,0,+++++++++-+++-++
cg22747746,I,8,"23,564,193",F,NKX2-6,0.0030,0.0007,4.33,1.5E-05,0.0012,0,0,++-++--++++-++++
cg25112191,II,1,"151,804,260",R,RORC,-0.0045,0.0010,-4.33,1.5E-05,0.0012,1,0,---------+-+-+--
cg17178468,II,17,"43,049,442",F,,-0.0087,0.0020,-4.33,1.5E-05,0.0012,0,0,---+-------+----
cg24201362,I,6,"467,681",F,,-0.0031,0.0007,-4.33,1.5E-05,0.0012,0,0,-----------+----
cg24766030,II,17,"34,311,861",F,CCL14;CCL14-CCL15,-0.0042,0.0010,-4.33,1.5E-05,0.0012,0,0,---------+-+----
cg20657709,II,2,"28,509,570",F,BRE,0.0067,0.0015,4.33,1.5E-05,0.0012,0,0,++++++++++-+++-+
cg21825792,II,12,"5,015,078",R,,0.0093,0.0021,4.33,1.5E-05,0.0012,0,0,++-++++++++-+-++
cg08818207,II,6,"32,820,355",R,TAP1,-0.0086,0.0020,-4.33,1.5E-05,0.0012,1,0,---------+-+-+--
cg12817782,II,11,"70,001,754",R,ANO1,0.0026,0.0006,4.33,1.5E-05,0.0012,0,0,++++?++++++?++++
cg13248299,II,12,"108,688,108",R,CMKLR1,0.0019,0.0004,4.33,1.5E-05,0.0012,0,0,+++-+++++++--+++
cg10633827,II,12,"52,963,708",F,KRT74,-0.0053,0.0012,-4.33,1.5E-05,0.0012,0,0,-----+---+------
cg06884254,II,11,"62,454,905",R,LRRN4CL,0.0059,0.0014,4.33,1.5E-05,0.0012,0,0,+++++-+++++++-++
cg01663970,II,12,"125,299,686",R,SCARB1,0.0067,0.0016,4.33,1.5E-05,0.0012,0,0,++++++-++++-++++
cg00179921,II,22,"39,927,437",R,RPS19BP1,-0.0068,0.0016,-4.33,1.5E-05,0.0012,0,0,---------+-+----
cg09667394,II,1,"78,011,748",F,AK5,0.0080,0.0019,4.33,1.5E-05,0.0012,0,0,+++++++++++-++++
cg14164839,II,1,"26,823,481",F,,0.0080,0.0019,4.33,1.5E-05,0.0012,0,0,++-++++-++-+++++
cg12814335,II,17,"1,466,713",F,PITPNA,0.0077,0.0018,4.33,1.5E-05,0.0012,1,0,+++++++-+++-+-++
cg21565496,I,13,"40,762,150",R,,-0.0101,0.0023,-4.33,1.5E-05,0.0012,1,0,----------++----
cg25852095,I,11,"68,866,783",F,,0.0130,0.0030,4.33,1.5E-05,0.0012,0,0,+++++++-++++++++
cg26801014,II,11,"88,241,769",F,GRM5,0.0041,0.0010,4.33,1.5E-05,0.0012,0,0,+++-+--+-++-+-++
cg10737118,II,20,"37,354,790",R,SLC32A1,0.0029,0.0007,4.33,1.5E-05,0.0012,0,0,++-++---+++-+-++
cg03228773,II,6,"31,627,511",F,C6orf47,-0.0036,0.0008,-4.33,1.5E-05,0.0012,0,0,----?+---+-?----
cg05007163,II,22,"39,266,069",R,CBX6,-0.0044,0.0010,-4.32,1.5E-05,0.0012,0,0,---+-----+-+----
cg17474524,II,20,"62,168,831",F,PTK6,-0.0060,0.0014,-4.32,1.5E-05,0.0012,1,0,----------++----
cg07201717,II,1,"25,031,947",R,,0.0037,0.0009,4.32,1.5E-05,0.0012,0,0,++++++++-++++-++
cg09026722,I,1,"156,867,080",F,PEAR1,-0.0020,0.0005,-4.32,1.5E-05,0.0012,0,0,-----++-----+---
cg02724490,II,8,"10,488,231",R,RP1L1,0.0052,0.0012,4.32,1.5E-05,0.0012,0,0,++-++++-+++-++-+
cg18688062,II,6,"31,146,471",R,PSORS1C3,-0.0104,0.0024,-4.32,1.5E-05,0.0012,0,0,---+-----+-?----
cg09587957,II,15,"40,399,101",R,BMF,-0.0057,0.0013,-4.32,1.5E-05,0.0012,0,0,---+-+-+---+----
cg17883458,II,3,"137,489,767",F,,0.0022,0.0005,4.32,1.5E-05,0.0012,0,0,+++-++++-++++-++
cg01288337,II,14,"92,991,035",F,RIN3,0.0063,0.0015,4.32,1.5E-05,0.0012,1,0,+++++++++++-++++
cg18704979,II,3,"47,054,668",R,LOC100129354,-0.0052,0.0012,-4.32,1.6E-05,0.0012,0,0,-------+---+-+--
cg19882886,II,6,"25,043,046",R,,-0.0104,0.0024,-4.32,1.6E-05,0.0012,0,0,--+--------?+---
cg12027254,II,17,"76,055,290",R,TNRC6C,0.0093,0.0021,4.32,1.6E-05,0.0012,0,0,+++++??++-++++++
cg10602282,II,7,"155,580,322",R,,0.0032,0.0007,4.32,1.6E-05,0.0012,0,0,+++-++++-++++-++
cg24955592,II,6,"26,271,227",F,HIST1H3G,-0.0028,0.0007,-4.32,1.6E-05,0.0012,0,0,---+-+---+-+----
cg17812664,II,10,"104,957,217",F,,-0.0099,0.0023,-4.32,1.6E-05,0.0012,0,0,---+?--------+--
cg24374013,II,3,"10,453,037",R,ATP2B2,-0.0046,0.0011,-4.32,1.6E-05,0.0012,0,0,---+-----+---+--
cg17848515,I,2,"130,940,706",R,SMPD4;FAM128B,-0.0058,0.0013,-4.32,1.6E-05,0.0012,0,0,-----+----------
cg16836311,I,1,"25,944,712",F,MAN1C1,-0.0151,0.0035,-4.32,1.6E-05,0.0012,1,0,-------------++-
cg27232145,II,12,"130,647,289",R,FZD10,0.0038,0.0009,4.32,1.6E-05,0.0012,0,0,+++-+++-+++++-++
cg14015211,I,1,"223,315,766",F,TLR5,-0.0016,0.0004,-4.32,1.6E-05,0.0012,0,0,--+---------+---
cg10133725,II,11,"64,981,081",R,SLC22A20,0.0076,0.0018,4.32,1.6E-05,0.0012,0,0,++++++++++++++-+
cg20752683,II,3,"29,218,208",F,,0.0024,0.0006,4.32,1.6E-05,0.0012,0,0,++-+?+++++++++-+
cg07802362,II,1,"172,313,798",R,DNM3,0.0042,0.0010,4.32,1.6E-05,0.0012,0,0,++++++++++--+-++
cg16031065,II,16,"70,719,115",R,MTSS1L,-0.0103,0.0024,-4.32,1.6E-05,0.0012,0,0,-----+-----+-+--
cg17742559,II,17,"27,068,495",F,NEK8,0.0041,0.0009,4.32,1.6E-05,0.0012,0,0,+-+++++++++++-+-
cg07465899,II,4,"696,400",F,,0.0038,0.0009,4.32,1.6E-05,0.0012,0,0,++-++++-+++-++--
cg09023136,I,1,"220,959,637",R,MOSC1,0.0027,0.0006,4.32,1.6E-05,0.0012,0,0,++-++-++-++++-++
cg14824670,I,7,"100,492,175",F,ACHE,-0.0057,0.0013,-4.32,1.6E-05,0.0012,0,0,---+-------+--+-
cg07891911,II,15,"35,598,798",R,,-0.0069,0.0016,-4.32,1.6E-05,0.0012,0,0,---+-+---+------
cg26796095,II,19,"5,625,046",R,SAFB,-0.0038,0.0009,-4.32,1.6E-05,0.0012,1,0,-------+---+----
cg12463578,I,6,"29,644,756",R,ZFP57,-0.0128,0.0030,-4.32,1.6E-05,0.0012,0,0,---------+-+----
cg18684951,II,5,"141,700,490",R,SPRY4,0.0038,0.0009,4.32,1.6E-05,0.0012,0,0,++-++++++-+++-++
cg24237439,II,5,"36,302,094",F,RANBP3L,0.0047,0.0011,4.32,1.6E-05,0.0012,0,0,++-++-++-+++++++
cg10631854,II,3,"197,383,170",R,,-0.0066,0.0015,-4.32,1.6E-05,0.0012,1,0,---------+-?----
cg15095727,II,3,"138,311,508",F,CEP70,-0.0077,0.0018,-4.32,1.6E-05,0.0012,0,0,----???+-----+-+
cg09834729,II,11,"35,099,055",R,,-0.0033,0.0008,-4.32,1.6E-05,0.0012,0,0,-----+-+------+-
cg05525649,I,6,"32,156,269",F,PBX2,-0.0064,0.0015,-4.32,1.6E-05,0.0012,1,0,-----------++---
cg12795893,II,12,"57,038,757",R,ATP5B;SNORD59B,-0.0087,0.0020,-4.32,1.6E-05,0.0012,0,1,---+-----+-+----
cg07195577,II,17,"27,052,828",R,TLCD1,-0.0069,0.0016,-4.32,1.6E-05,0.0012,1,0,---+-+-----+----
cg20896063,II,11,"5,274,883",R,HBG2,0.0050,0.0012,4.32,1.6E-05,0.0012,0,0,++++++++++-+++++
cg04445427,II,8,"133,699,791",R,,0.0080,0.0018,4.32,1.6E-05,0.0012,0,0,+++++++++++-+--+
cg06639332,II,13,"37,248,305",F,C13orf36,0.0023,0.0005,4.31,1.6E-05,0.0012,0,0,+++-++-++++++-++
cg12573289,II,7,"45,075,791",F,CCM2,-0.0035,0.0008,-4.31,1.6E-05,0.0012,0,0,--------+-----++
cg15952963,II,13,"21,635,959",R,LATS2,0.0016,0.0004,4.31,1.6E-05,0.0012,0,0,++-++-++++++-+-+
cg26832142,II,1,"66,258,441",R,PDE4B,0.0024,0.0006,4.31,1.6E-05,0.0012,0,0,+++-+++++++-+-++
